,high_mean
2023-06-26-13:15,260
2023-06-26-13:30,260
2023-06-26-13:45,261
2023-06-26-14:00,258
2023-06-26-14:15,258
2023-06-26-14:30,259
2023-06-26-14:45,252
2023-06-26-15:00,253
2023-06-26-15:15,253
2023-06-26-15:30,252
2023-06-26-15:45,252
2023-06-26-16:00,248
2023-06-26-16:15,248
2023-06-26-16:30,248
2023-06-26-16:45,248
2023-06-26-17:00,261
2023-06-26-17:15,275
2023-06-26-17:30,281
2023-06-26-17:45,303
2023-06-26-18:00,319
2023-06-26-18:15,377
2023-06-26-18:30,402
2023-06-26-18:45,424
2023-06-26-19:00,438
2023-06-26-19:15,445
2023-06-26-19:30,445
2023-06-26-19:45,436
2023-06-26-20:00,457
2023-06-26-20:15,425
2023-06-26-20:30,425
2023-06-26-20:45,406
2023-06-26-21:00,415
2023-06-26-21:15,418
2023-06-26-21:30,356
2023-06-26-21:45,348
2023-06-26-22:00,355
2023-06-26-22:15,344
2023-06-26-22:30,330
2023-06-26-22:45,330
2023-06-26-23:00,266
2023-06-26-23:15,261
2023-06-26-23:30,240
2023-06-26-23:45,202
2023-06-27-00:00,224
2023-06-27-00:15,205
2023-06-27-00:30,204
2023-06-27-00:45,200
2023-06-27-01:00,161
2023-06-27-01:15,164
2023-06-27-01:30,154
2023-06-27-01:45,150
2023-06-27-02:00,153
2023-06-27-02:15,146
2023-06-27-02:30,142
2023-06-27-02:45,136
2023-06-27-03:00,141
2023-06-27-03:15,143
2023-06-27-03:30,145
2023-06-27-03:45,139
2023-06-27-04:00,127
2023-06-27-04:15,127
2023-06-27-04:30,122
2023-06-27-04:45,122
2023-06-27-05:00,121
2023-06-27-05:15,121
2023-06-27-05:30,121
2023-06-27-05:45,121
2023-06-27-06:00,119
2023-06-27-06:15,119
2023-06-27-06:30,119
2023-06-27-06:45,119
2023-06-27-07:00,117
2023-06-27-07:15,120
2023-06-27-07:30,120
2023-06-27-07:45,120
2023-06-27-08:00,129
2023-06-27-08:15,127
2023-06-27-08:30,132
2023-06-27-08:45,146
2023-06-27-09:00,158
2023-06-27-09:15,169
2023-06-27-09:30,180
2023-06-27-09:45,194
2023-06-27-10:00,203
2023-06-27-10:15,215
2023-06-27-10:30,218
2023-06-27-10:45,226
2023-06-27-11:00,242
2023-06-27-11:15,252
2023-06-27-11:30,260
2023-06-27-11:45,262
2023-06-27-12:00,260
2023-06-27-12:15,256
2023-06-27-12:30,254
2023-06-27-12:45,254
2023-06-27-13:00,250
2023-06-27-13:15,247
2023-06-27-13:30,247
2023-06-27-13:45,247
2023-06-27-14:00,250
2023-06-27-14:15,250
2023-06-27-14:30,246
2023-06-27-14:45,246
2023-06-27-15:00,244
2023-06-27-15:15,244
2023-06-27-15:30,244
2023-06-27-15:45,243
2023-06-27-16:00,239
2023-06-27-16:15,239
2023-06-27-16:30,239
2023-06-27-16:45,240
2023-06-27-17:00,245
2023-06-27-17:15,262
2023-06-27-17:30,287
2023-06-27-17:45,320
2023-06-27-18:00,345
2023-06-27-18:15,419
2023-06-27-18:30,463
2023-06-27-18:45,527
2023-06-27-19:00,556
2023-06-27-19:15,563
2023-06-27-19:30,566
2023-06-27-19:45,562
2023-06-27-20:00,583
2023-06-27-20:15,583
2023-06-27-20:30,583
2023-06-27-20:45,583
2023-06-27-21:00,551
2023-06-27-21:15,524
2023-06-27-21:30,524
2023-06-27-21:45,489
2023-06-27-22:00,427
2023-06-27-22:15,428
2023-06-27-22:30,428
2023-06-27-22:45,371
2023-06-27-23:00,350
2023-06-27-23:15,350
2023-06-27-23:30,331
2023-06-27-23:45,297
2023-06-28-00:00,242
2023-06-28-00:15,220
2023-06-28-00:30,213
2023-06-28-00:45,203
2023-06-28-01:00,185
2023-06-28-01:15,168
2023-06-28-01:30,164
2023-06-28-01:45,169
2023-06-28-02:00,160
2023-06-28-02:15,155
2023-06-28-02:30,156
2023-06-28-02:45,145
2023-06-28-03:00,145
2023-06-28-03:15,146
2023-06-28-03:30,141
2023-06-28-03:45,143
2023-06-28-04:00,139
2023-06-28-04:15,139
2023-06-28-04:30,135
2023-06-28-04:45,135
2023-06-28-05:00,132
2023-06-28-05:15,132
2023-06-28-05:30,132
2023-06-28-05:45,132
2023-06-28-06:00,128
2023-06-28-06:15,127
2023-06-28-06:30,127
2023-06-28-06:45,127
2023-06-28-07:00,125
2023-06-28-07:15,125
2023-06-28-07:30,125
2023-06-28-07:45,125
2023-06-28-08:00,126
2023-06-28-08:15,128
2023-06-28-08:30,138
2023-06-28-08:45,152
2023-06-28-09:00,169
2023-06-28-09:15,174
2023-06-28-09:30,180
2023-06-28-09:45,198
2023-06-28-10:00,205
2023-06-28-10:15,213
2023-06-28-10:30,213
2023-06-28-10:45,218
2023-06-28-11:00,245
2023-06-28-11:15,258
2023-06-28-11:30,249
2023-06-28-11:45,258
2023-06-28-12:00,264
2023-06-28-12:15,265
2023-06-28-12:30,265
2023-06-28-12:45,265
2023-06-28-13:00,260
2023-06-28-13:15,260
2023-06-28-13:30,258
2023-06-28-13:45,258
2023-06-28-14:00,253
2023-06-28-14:15,253
2023-06-28-14:30,252
2023-06-28-14:45,252
2023-06-28-15:00,247
2023-06-28-15:15,246
2023-06-28-15:30,246
2023-06-28-15:45,245
2023-06-28-16:00,247
2023-06-28-16:15,247
2023-06-28-16:30,249
2023-06-28-16:45,249
2023-06-28-17:00,258
2023-06-28-17:15,272
2023-06-28-17:30,306
2023-06-28-17:45,344
2023-06-28-18:00,408
2023-06-28-18:15,462
2023-06-28-18:30,503
2023-06-28-18:45,571
2023-06-28-19:00,587
2023-06-28-19:15,606
2023-06-28-19:30,608
2023-06-28-19:45,608
2023-06-28-20:00,608
2023-06-28-20:15,606
2023-06-28-20:30,606
2023-06-28-20:45,606
2023-06-28-21:00,585
2023-06-28-21:15,546
2023-06-28-21:30,546
2023-06-28-21:45,513
2023-06-28-22:00,465
2023-06-28-22:15,463
2023-06-28-22:30,459
2023-06-28-22:45,402
2023-06-28-23:00,370
2023-06-28-23:15,366
2023-06-28-23:30,348
2023-06-28-23:45,314
2023-06-29-00:00,258
2023-06-29-00:15,242
2023-06-29-00:30,213
2023-06-29-00:45,204
2023-06-29-01:00,185
2023-06-29-01:15,175
2023-06-29-01:30,171
2023-06-29-01:45,168
2023-06-29-02:00,160
2023-06-29-02:15,155
2023-06-29-02:30,151
2023-06-29-02:45,144
2023-06-29-03:00,143
2023-06-29-03:15,142
2023-06-29-03:30,138
2023-06-29-03:45,143
2023-06-29-04:00,139
2023-06-29-04:15,139
2023-06-29-04:30,139
2023-06-29-04:45,139
2023-06-29-05:00,136
2023-06-29-05:15,136
2023-06-29-05:30,136
2023-06-29-05:45,129
2023-06-29-06:00,123
2023-06-29-06:15,123
2023-06-29-06:30,123
2023-06-29-06:45,123
2023-06-29-07:00,125
2023-06-29-07:15,125
2023-06-29-07:30,125
2023-06-29-07:45,125
2023-06-29-08:00,125
2023-06-29-08:15,126
2023-06-29-08:30,137
2023-06-29-08:45,152
2023-06-29-09:00,170
2023-06-29-09:15,179
2023-06-29-09:30,186
2023-06-29-09:45,204
2023-06-29-10:00,204
2023-06-29-10:15,213
2023-06-29-10:30,213
2023-06-29-10:45,222
2023-06-29-11:00,234
2023-06-29-11:15,246
2023-06-29-11:30,256
2023-06-29-11:45,263
2023-06-29-12:00,260
2023-06-29-12:15,260
2023-06-29-12:30,270
2023-06-29-12:45,270
2023-06-29-13:00,265
2023-06-29-13:15,265
2023-06-29-13:30,251
2023-06-29-13:45,252
2023-06-29-14:00,251
2023-06-29-14:15,251
2023-06-29-14:30,250
2023-06-29-14:45,250
2023-06-29-15:00,245
2023-06-29-15:15,245
2023-06-29-15:30,245
2023-06-29-15:45,245
2023-06-29-16:00,245
2023-06-29-16:15,245
2023-06-29-16:30,245
2023-06-29-16:45,245
2023-06-29-17:00,287
2023-06-29-17:15,291
2023-06-29-17:30,321
2023-06-29-17:45,369
2023-06-29-18:00,419
2023-06-29-18:15,462
2023-06-29-18:30,507
2023-06-29-18:45,574
2023-06-29-19:00,601
2023-06-29-19:15,608
2023-06-29-19:30,608
2023-06-29-19:45,608
2023-06-29-20:00,603
2023-06-29-20:15,603
2023-06-29-20:30,603
2023-06-29-20:45,593
2023-06-29-21:00,571
2023-06-29-21:15,551
2023-06-29-21:30,551
2023-06-29-21:45,543
2023-06-29-22:00,525
2023-06-29-22:15,523
2023-06-29-22:30,519
2023-06-29-22:45,462
2023-06-29-23:00,403
2023-06-29-23:15,400
2023-06-29-23:30,381
2023-06-29-23:45,360
2023-06-30-00:00,289
2023-06-30-00:15,271
2023-06-30-00:30,254
2023-06-30-00:45,223
2023-06-30-01:00,199
2023-06-30-01:15,184
2023-06-30-01:30,182
2023-06-30-01:45,187
2023-06-30-02:00,167
2023-06-30-02:15,162
2023-06-30-02:30,159
2023-06-30-02:45,156
2023-06-30-03:00,157
2023-06-30-03:15,158
2023-06-30-03:30,157
2023-06-30-03:45,154
2023-06-30-04:00,139
2023-06-30-04:15,139
2023-06-30-04:30,139
2023-06-30-04:45,139
2023-06-30-05:00,136
2023-06-30-05:15,136
2023-06-30-05:30,136
2023-06-30-05:45,136
2023-06-30-06:00,129
2023-06-30-06:15,129
