,high_mean
2023-06-24-00:00,29
2023-06-24-00:15,28
2023-06-24-00:30,26
2023-06-24-00:45,26
2023-06-24-01:00,34
2023-06-24-01:15,34
2023-06-24-01:30,34
2023-06-24-01:45,34
2023-06-24-02:00,29
2023-06-24-02:15,28
2023-06-24-02:30,28
2023-06-24-02:45,29
2023-06-24-03:00,34
2023-06-24-03:15,34
2023-06-24-03:30,34
2023-06-24-03:45,34
2023-06-24-04:00,23
2023-06-24-04:15,23
2023-06-24-04:30,23
2023-06-24-04:45,23
2023-06-24-05:00,61
2023-06-24-05:15,61
2023-06-24-05:30,61
2023-06-24-05:45,61
2023-06-24-06:00,22
2023-06-24-06:15,22
2023-06-24-06:30,22
2023-06-24-06:45,23
2023-06-24-07:00,24
2023-06-24-07:15,25
2023-06-24-07:30,24
2023-06-24-07:45,28
2023-06-24-08:00,54
2023-06-24-08:15,55
2023-06-24-08:30,54
2023-06-24-08:45,54
2023-06-24-09:00,95
2023-06-24-09:15,95
2023-06-24-09:30,92
2023-06-24-09:45,92
2023-06-24-10:00,108
2023-06-24-10:15,112
2023-06-24-10:30,116
2023-06-24-10:45,115
2023-06-24-11:00,115
2023-06-24-11:15,122
2023-06-24-11:30,120
2023-06-24-11:45,125
2023-06-24-12:00,124
2023-06-24-12:15,127
2023-06-24-12:30,127
2023-06-24-12:45,129
2023-06-24-13:00,127
2023-06-24-13:15,122
2023-06-24-13:30,123
2023-06-24-13:45,124
2023-06-24-14:00,125
2023-06-24-14:15,123
2023-06-24-14:30,116
2023-06-24-14:45,112
2023-06-24-15:00,108
2023-06-24-15:15,105
2023-06-24-15:30,96
2023-06-24-15:45,86
2023-06-24-16:00,87
2023-06-24-16:15,87
2023-06-24-16:30,86
2023-06-24-16:45,88
2023-06-24-17:00,84
2023-06-24-17:15,83
2023-06-24-17:30,80
2023-06-24-17:45,79
2023-06-24-18:00,76
2023-06-24-18:15,77
2023-06-24-18:30,73
2023-06-24-18:45,71
2023-06-24-19:00,69
2023-06-24-19:15,69
2023-06-24-19:30,69
2023-06-24-19:45,69
2023-06-24-20:00,50
2023-06-24-20:15,42
2023-06-24-20:30,37
2023-06-24-20:45,38
2023-06-24-21:00,37
2023-06-24-21:15,34
2023-06-24-21:30,33
2023-06-24-21:45,33
2023-06-24-22:00,35
2023-06-24-22:15,32
2023-06-24-22:30,31
2023-06-24-22:45,31
2023-06-24-23:00,30
2023-06-24-23:15,29
2023-06-24-23:30,28
2023-06-24-23:45,29
2023-06-25-00:00,26
2023-06-25-00:15,26
2023-06-25-00:30,25
2023-06-25-00:45,25
2023-06-25-01:00,34
2023-06-25-01:15,34
2023-06-25-01:30,34
2023-06-25-01:45,35
2023-06-25-02:00,30
2023-06-25-02:15,30
2023-06-25-02:30,28
2023-06-25-02:45,28
2023-06-25-03:00,34
2023-06-25-03:15,34
2023-06-25-03:30,35
2023-06-25-03:45,35
2023-06-25-04:00,24
2023-06-25-04:15,24
2023-06-25-04:30,24
2023-06-25-04:45,24
2023-06-25-05:00,47
2023-06-25-05:15,47
2023-06-25-05:30,59
2023-06-25-05:45,59
2023-06-25-06:00,24
2023-06-25-06:15,24
2023-06-25-06:30,24
2023-06-25-06:45,24
2023-06-25-07:00,24
2023-06-25-07:15,24
2023-06-25-07:30,27
2023-06-25-07:45,27
2023-06-25-08:00,48
2023-06-25-08:15,48
2023-06-25-08:30,54
2023-06-25-08:45,56
2023-06-25-09:00,86
2023-06-25-09:15,87
2023-06-25-09:30,91
2023-06-25-09:45,92
2023-06-25-10:00,109
2023-06-25-10:15,111
2023-06-25-10:30,109
2023-06-25-10:45,113
2023-06-25-11:00,119
2023-06-25-11:15,119
2023-06-25-11:30,123
2023-06-25-11:45,128
2023-06-25-12:00,134
2023-06-25-12:15,129
2023-06-25-12:30,130
2023-06-25-12:45,131
2023-06-25-13:00,131
2023-06-25-13:15,132
2023-06-25-13:30,133
2023-06-25-13:45,127
2023-06-25-14:00,130
2023-06-25-14:15,128
2023-06-25-14:30,123
2023-06-25-14:45,121
2023-06-25-15:00,118
2023-06-25-15:15,107
2023-06-25-15:30,96
2023-06-25-15:45,86
2023-06-25-16:00,87
2023-06-25-16:15,90
2023-06-25-16:30,89
2023-06-25-16:45,86
2023-06-25-17:00,83
2023-06-25-17:15,79
2023-06-25-17:30,75
2023-06-25-17:45,94
2023-06-25-18:00,81
2023-06-25-18:15,77
2023-06-25-18:30,71
2023-06-25-18:45,71
2023-06-25-19:00,69
2023-06-25-19:15,69
2023-06-25-19:30,70
2023-06-25-19:45,60
2023-06-25-20:00,33
2023-06-25-20:15,31
2023-06-25-20:30,27
2023-06-25-20:45,30
2023-06-25-21:00,27
2023-06-25-21:15,28
2023-06-25-21:30,27
2023-06-25-21:45,26
2023-06-25-22:00,28
2023-06-25-22:15,26
2023-06-25-22:30,26
2023-06-25-22:45,27
2023-06-25-23:00,26
2023-06-25-23:15,26
2023-06-25-23:30,26
2023-06-25-23:45,25
2023-06-26-00:00,25
2023-06-26-00:15,25
2023-06-26-00:30,25
2023-06-26-00:45,25
2023-06-26-01:00,30
2023-06-26-01:15,30
2023-06-26-01:30,30
2023-06-26-01:45,28
2023-06-26-02:00,26
2023-06-26-02:15,25
2023-06-26-02:30,24
2023-06-26-02:45,24
2023-06-26-03:00,29
2023-06-26-03:15,29
2023-06-26-03:30,31
2023-06-26-03:45,32
2023-06-26-04:00,22
2023-06-26-04:15,22
2023-06-26-04:30,23
2023-06-26-04:45,22
2023-06-26-05:00,38
2023-06-26-05:15,38
2023-06-26-05:30,38
2023-06-26-05:45,38
2023-06-26-06:00,22
2023-06-26-06:15,23
2023-06-26-06:30,22
2023-06-26-06:45,24
2023-06-26-07:00,22
2023-06-26-07:15,22
2023-06-26-07:30,23
2023-06-26-07:45,23
2023-06-26-08:00,35
2023-06-26-08:15,36
2023-06-26-08:30,36
2023-06-26-08:45,38
2023-06-26-09:00,60
2023-06-26-09:15,60
2023-06-26-09:30,60
2023-06-26-09:45,61
2023-06-26-10:00,61
2023-06-26-10:15,61
2023-06-26-10:30,63
2023-06-26-10:45,72
2023-06-26-11:00,76
2023-06-26-11:15,84
2023-06-26-11:30,105
2023-06-26-11:45,104
2023-06-26-12:00,103
2023-06-26-12:15,103
2023-06-26-12:30,109
2023-06-26-12:45,98
2023-06-26-13:00,98
2023-06-26-13:15,92
2023-06-26-13:30,89
2023-06-26-13:45,87
2023-06-26-14:00,107
2023-06-26-14:15,107
2023-06-26-14:30,108
2023-06-26-14:45,104
2023-06-26-15:00,92
2023-06-26-15:15,89
2023-06-26-15:30,89
2023-06-26-15:45,91
2023-06-26-16:00,88
2023-06-26-16:15,72
2023-06-26-16:30,72
2023-06-26-16:45,72
2023-06-26-17:00,70
2023-06-26-17:15,71
2023-06-26-17:30,70
2023-06-26-17:45,66
2023-06-26-18:00,59
2023-06-26-18:15,61
2023-06-26-18:30,59
2023-06-26-18:45,59
2023-06-26-19:00,56
2023-06-26-19:15,57
2023-06-26-19:30,62
2023-06-26-19:45,62
2023-06-26-20:00,39
2023-06-26-20:15,34
2023-06-26-20:30,32
2023-06-26-20:45,32
2023-06-26-21:00,36
2023-06-26-21:15,31
2023-06-26-21:30,31
2023-06-26-21:45,31
2023-06-26-22:00,26
2023-06-26-22:15,24
2023-06-26-22:30,25
2023-06-26-22:45,24
2023-06-26-23:00,26
2023-06-26-23:15,26
2023-06-26-23:30,26
2023-06-26-23:45,26
2023-06-27-00:00,28
2023-06-27-00:15,27
2023-06-27-00:30,27
2023-06-27-00:45,25
2023-06-27-01:00,28
2023-06-27-01:15,27
2023-06-27-01:30,27
2023-06-27-01:45,27
2023-06-27-02:00,27
2023-06-27-02:15,28
2023-06-27-02:30,27
2023-06-27-02:45,28
2023-06-27-03:00,33
2023-06-27-03:15,33
2023-06-27-03:30,33
2023-06-27-03:45,33
2023-06-27-04:00,23
2023-06-27-04:15,23
2023-06-27-04:30,23
2023-06-27-04:45,24
2023-06-27-05:00,40
2023-06-27-05:15,40
2023-06-27-05:30,40
2023-06-27-05:45,40
2023-06-27-06:00,21
2023-06-27-06:15,21
2023-06-27-06:30,22
2023-06-27-06:45,22
2023-06-27-07:00,22
2023-06-27-07:15,22
2023-06-27-07:30,23
2023-06-27-07:45,23
2023-06-27-08:00,36
2023-06-27-08:15,36
2023-06-27-08:30,36
2023-06-27-08:45,38
2023-06-27-09:00,55
2023-06-27-09:15,54
2023-06-27-09:30,54
2023-06-27-09:45,55
2023-06-27-10:00,67
2023-06-27-10:15,67
2023-06-27-10:30,72
2023-06-27-10:45,68
2023-06-27-11:00,70
2023-06-27-11:15,76
2023-06-27-11:30,98
2023-06-27-11:45,105
2023-06-27-12:00,109
2023-06-27-12:15,103
2023-06-27-12:30,103
2023-06-27-12:45,94
2023-06-27-13:00,96
2023-06-27-13:15,97
2023-06-27-13:30,97
2023-06-27-13:45,91
2023-06-27-14:00,85
2023-06-27-14:15,85
2023-06-27-14:30,84
2023-06-27-14:45,82
2023-06-27-15:00,82
2023-06-27-15:15,77
2023-06-27-15:30,76
2023-06-27-15:45,76
2023-06-27-16:00,69
2023-06-27-16:15,68
2023-06-27-16:30,61
2023-06-27-16:45,61
2023-06-27-17:00,61
2023-06-27-17:15,60
2023-06-27-17:30,61
2023-06-27-17:45,65
2023-06-27-18:00,61
2023-06-27-18:15,60
2023-06-27-18:30,54
2023-06-27-18:45,60
2023-06-27-19:00,61
2023-06-27-19:15,59
2023-06-27-19:30,58
2023-06-27-19:45,60
2023-06-27-20:00,50
2023-06-27-20:15,44
2023-06-27-20:30,43
2023-06-27-20:45,44
2023-06-27-21:00,43
2023-06-27-21:15,40
2023-06-27-21:30,38
2023-06-27-21:45,32
2023-06-27-22:00,31
2023-06-27-22:15,28
2023-06-27-22:30,28
2023-06-27-22:45,27
2023-06-27-23:00,26
2023-06-27-23:15,26
2023-06-27-23:30,25
2023-06-27-23:45,25
2023-06-28-00:00,28
2023-06-28-00:15,26
2023-06-28-00:30,26
2023-06-28-00:45,26
2023-06-28-01:00,29
2023-06-28-01:15,29
2023-06-28-01:30,29
2023-06-28-01:45,29
2023-06-28-02:00,27
2023-06-28-02:15,27
2023-06-28-02:30,27
2023-06-28-02:45,27
2023-06-28-03:00,30
2023-06-28-03:15,30
2023-06-28-03:30,30
2023-06-28-03:45,30
2023-06-28-04:00,23
2023-06-28-04:15,23
2023-06-28-04:30,23
2023-06-28-04:45,23
2023-06-28-05:00,57
2023-06-28-05:15,58
2023-06-28-05:30,49
2023-06-28-05:45,45
2023-06-28-06:00,26
2023-06-28-06:15,25
2023-06-28-06:30,23
