,high_mean
2023-06-28-06:45,22
2023-06-28-07:00,24
2023-06-28-07:15,24
2023-06-28-07:30,28
2023-06-28-07:45,26
2023-06-28-08:00,38
2023-06-28-08:15,39
2023-06-28-08:30,40
2023-06-28-08:45,42
2023-06-28-09:00,89
2023-06-28-09:15,88
2023-06-28-09:30,88
2023-06-28-09:45,89
2023-06-28-10:00,98
2023-06-28-10:15,105
2023-06-28-10:30,107
2023-06-28-10:45,119
2023-06-28-11:00,110
2023-06-28-11:15,124
2023-06-28-11:30,133
2023-06-28-11:45,142
2023-06-28-12:00,142
2023-06-28-12:15,140
2023-06-28-12:30,136
2023-06-28-12:45,125
2023-06-28-13:00,120
2023-06-28-13:15,120
2023-06-28-13:30,127
2023-06-28-13:45,127
2023-06-28-14:00,109
2023-06-28-14:15,111
2023-06-28-14:30,111
2023-06-28-14:45,107
2023-06-28-15:00,108
2023-06-28-15:15,111
2023-06-28-15:30,106
2023-06-28-15:45,100
2023-06-28-16:00,103
2023-06-28-16:15,108
2023-06-28-16:30,107
2023-06-28-16:45,99
2023-06-28-17:00,98
2023-06-28-17:15,90
2023-06-28-17:30,77
2023-06-28-17:45,83
2023-06-28-18:00,80
2023-06-28-18:15,79
2023-06-28-18:30,75
2023-06-28-18:45,78
2023-06-28-19:00,72
2023-06-28-19:15,73
2023-06-28-19:30,73
2023-06-28-19:45,73
2023-06-28-20:00,51
2023-06-28-20:15,42
2023-06-28-20:30,40
2023-06-28-20:45,41
2023-06-28-21:00,38
2023-06-28-21:15,36
2023-06-28-21:30,35
2023-06-28-21:45,29
2023-06-28-22:00,30
2023-06-28-22:15,26
2023-06-28-22:30,26
2023-06-28-22:45,26
2023-06-28-23:00,25
2023-06-28-23:15,26
2023-06-28-23:30,25
2023-06-28-23:45,25
2023-06-29-00:00,26
2023-06-29-00:15,26
2023-06-29-00:30,26
2023-06-29-00:45,25
2023-06-29-01:00,28
2023-06-29-01:15,28
2023-06-29-01:30,28
2023-06-29-01:45,28
2023-06-29-02:00,26
2023-06-29-02:15,26
2023-06-29-02:30,26
2023-06-29-02:45,26
2023-06-29-03:00,29
2023-06-29-03:15,29
2023-06-29-03:30,28
2023-06-29-03:45,33
2023-06-29-04:00,24
2023-06-29-04:15,24
2023-06-29-04:30,24
2023-06-29-04:45,24
2023-06-29-05:00,40
2023-06-29-05:15,39
2023-06-29-05:30,38
2023-06-29-05:45,38
2023-06-29-06:00,22
2023-06-29-06:15,22
2023-06-29-06:30,22
2023-06-29-06:45,22
2023-06-29-07:00,21
2023-06-29-07:15,23
2023-06-29-07:30,24
2023-06-29-07:45,24
2023-06-29-08:00,35
2023-06-29-08:15,34
2023-06-29-08:30,35
2023-06-29-08:45,37
2023-06-29-09:00,50
2023-06-29-09:15,54
2023-06-29-09:30,56
2023-06-29-09:45,54
2023-06-29-10:00,63
2023-06-29-10:15,71
2023-06-29-10:30,73
2023-06-29-10:45,75
2023-06-29-11:00,86
2023-06-29-11:15,88
2023-06-29-11:30,108
2023-06-29-11:45,102
2023-06-29-12:00,106
2023-06-29-12:15,101
2023-06-29-12:30,96
2023-06-29-12:45,95
2023-06-29-13:00,91
2023-06-29-13:15,85
2023-06-29-13:30,88
2023-06-29-13:45,82
2023-06-29-14:00,79
2023-06-29-14:15,78
2023-06-29-14:30,82
2023-06-29-14:45,78
2023-06-29-15:00,78
2023-06-29-15:15,78
2023-06-29-15:30,74
2023-06-29-15:45,71
2023-06-29-16:00,63
2023-06-29-16:15,68
2023-06-29-16:30,65
2023-06-29-16:45,63
2023-06-29-17:00,62
2023-06-29-17:15,64
2023-06-29-17:30,61
2023-06-29-17:45,60
2023-06-29-18:00,63
2023-06-29-18:15,57
2023-06-29-18:30,66
2023-06-29-18:45,66
2023-06-29-19:00,61
2023-06-29-19:15,63
2023-06-29-19:30,63
2023-06-29-19:45,62
2023-06-29-20:00,50
2023-06-29-20:15,41
2023-06-29-20:30,37
2023-06-29-20:45,41
2023-06-29-21:00,43
2023-06-29-21:15,36
2023-06-29-21:30,36
2023-06-29-21:45,35
2023-06-29-22:00,34
2023-06-29-22:15,32
2023-06-29-22:30,32
2023-06-29-22:45,30
2023-06-29-23:00,26
2023-06-29-23:15,26
2023-06-29-23:30,24
2023-06-29-23:45,24
2023-06-30-00:00,27
2023-06-30-00:15,25
2023-06-30-00:30,25
2023-06-30-00:45,25
2023-06-30-01:00,30
2023-06-30-01:15,29
2023-06-30-01:30,29
2023-06-30-01:45,29
2023-06-30-02:00,28
2023-06-30-02:15,28
2023-06-30-02:30,27
2023-06-30-02:45,27
2023-06-30-03:00,30
2023-06-30-03:15,30
2023-06-30-03:30,29
2023-06-30-03:45,29
2023-06-30-04:00,23
2023-06-30-04:15,23
2023-06-30-04:30,23
2023-06-30-04:45,23
2023-06-30-05:00,44
2023-06-30-05:15,44
2023-06-30-05:30,44
2023-06-30-05:45,45
2023-06-30-06:00,22
2023-06-30-06:15,22
2023-06-30-06:30,23
2023-06-30-06:45,23
2023-06-30-07:00,24
2023-06-30-07:15,23
2023-06-30-07:30,24
2023-06-30-07:45,25
2023-06-30-08:00,37
2023-06-30-08:15,36
2023-06-30-08:30,37
2023-06-30-08:45,37
2023-06-30-09:00,65
2023-06-30-09:15,65
2023-06-30-09:30,54
2023-06-30-09:45,57
2023-06-30-10:00,77
2023-06-30-10:15,81
2023-06-30-10:30,82
2023-06-30-10:45,83
2023-06-30-11:00,91
2023-06-30-11:15,99
2023-06-30-11:30,106
2023-06-30-11:45,110
2023-06-30-12:00,110
2023-06-30-12:15,107
2023-06-30-12:30,110
2023-06-30-12:45,102
2023-06-30-13:00,104
2023-06-30-13:15,100
2023-06-30-13:30,93
2023-06-30-13:45,92
2023-06-30-14:00,93
2023-06-30-14:15,91
2023-06-30-14:30,93
2023-06-30-14:45,96
2023-06-30-15:00,92
2023-06-30-15:15,90
2023-06-30-15:30,79
2023-06-30-15:45,76
2023-06-30-16:00,74
2023-06-30-16:15,78
2023-06-30-16:30,72
2023-06-30-16:45,69
2023-06-30-17:00,63
2023-06-30-17:15,58
2023-06-30-17:30,61
2023-06-30-17:45,68
2023-06-30-18:00,63
2023-06-30-18:15,57
2023-06-30-18:30,57
2023-06-30-18:45,61
2023-06-30-19:00,63
2023-06-30-19:15,59
2023-06-30-19:30,62
2023-06-30-19:45,60
2023-06-30-20:00,48
2023-06-30-20:15,41
2023-06-30-20:30,38
2023-06-30-20:45,40
2023-06-30-21:00,38
2023-06-30-21:15,35
2023-06-30-21:30,36
2023-06-30-21:45,35
2023-06-30-22:00,33
2023-06-30-22:15,30
2023-06-30-22:30,29
2023-06-30-22:45,28
2023-06-30-23:00,27
2023-06-30-23:15,26
2023-06-30-23:30,25
2023-06-30-23:45,25
