,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-24-00:00,8,7,9,8,8.0,8.0,8.5,9.0
2023-06-24-00:15,8,7,9,8,8.0,8.0,8.5,9.0
2023-06-24-00:30,8,7,9,8,8.0,8.0,8.5,9.0
2023-06-24-00:45,7,7,9,8,7.75,7.5,8.5,9.0
2023-06-24-01:00,7,7,9,8,7.75,7.5,8.5,9.0
2023-06-24-01:15,7,7,9,8,7.75,7.5,8.5,9.0
2023-06-24-01:30,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-24-01:45,7,8,9,7,7.75,7.5,8.5,9.0
2023-06-24-02:00,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-24-02:15,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-24-02:30,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-24-02:45,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-24-03:00,8,9,9,8,8.5,8.5,9.0,9.0
2023-06-24-03:15,8,9,9,8,8.5,8.5,9.0,9.0
2023-06-24-03:30,8,9,9,8,8.5,8.5,9.0,9.0
2023-06-24-03:45,8,9,9,8,8.5,8.5,9.0,9.0
2023-06-24-04:00,8,10,9,8,8.75,8.5,9.5,10.0
2023-06-24-04:15,8,10,9,8,8.75,8.5,9.5,10.0
2023-06-24-04:30,8,11,9,8,9.0,8.5,10.0,11.0
2023-06-24-04:45,8,9,9,8,8.5,8.5,9.0,9.0
2023-06-24-05:00,8,9,9,9,8.75,9.0,9.0,9.0
2023-06-24-05:15,9,9,9,9,9.0,9.0,9.0,9.0
2023-06-24-05:30,7,10,9,9,8.75,9.0,9.5,10.0
2023-06-24-05:45,7,10,9,9,8.75,9.0,9.5,10.0
2023-06-24-06:00,8,12,10,10,10.0,10.0,11.0,12.0
2023-06-24-06:15,8,13,10,10,10.25,10.0,11.5,13.0
2023-06-24-06:30,9,10,10,9,9.5,9.5,10.0,10.0
2023-06-24-06:45,10,10,10,6,9.0,10.0,10.0,10.0
2023-06-24-07:00,13,9,12,7,10.25,10.5,12.5,13.0
2023-06-24-07:15,16,11,15,6,12.0,13.0,15.5,16.0
2023-06-24-07:30,21,17,11,12,15.25,14.5,19.0,21.0
2023-06-24-07:45,21,22,19,11,18.25,20.0,21.5,22.0
2023-06-24-08:00,30,23,25,14,23.0,24.0,27.5,30.0
2023-06-24-08:15,32,22,21,15,22.5,21.5,27.0,32.0
2023-06-24-08:30,35,38,24,20,29.25,29.5,36.5,38.0
2023-06-24-08:45,37,49,24,24,33.5,30.5,43.0,49.0
2023-06-24-09:00,51,57,62,34,51.0,54.0,59.5,62.0
2023-06-24-09:15,58,68,69,40,58.75,63.0,68.5,69.0
2023-06-24-09:30,58,67,69,40,58.5,62.5,68.0,69.0
2023-06-24-09:45,64,60,69,40,58.25,62.0,66.5,69.0
2023-06-24-10:00,79,73,62,33,61.75,67.5,76.0,79.0
2023-06-24-10:15,82,71,71,33,64.25,71.0,76.5,82.0
2023-06-24-10:30,92,101,71,36,75.0,81.5,96.5,101.0
2023-06-24-10:45,94,101,71,38,76.0,82.5,97.5,101.0
2023-06-24-11:00,88,87,72,34,70.25,79.5,87.5,88.0
2023-06-24-11:15,95,95,72,36,74.5,83.5,95.0,95.0
2023-06-24-11:30,82,94,72,40,72.0,77.0,88.0,94.0
2023-06-24-11:45,82,94,72,36,71.0,77.0,88.0,94.0
2023-06-24-12:00,83,92,71,35,70.25,77.0,87.5,92.0
2023-06-24-12:15,83,92,71,35,70.25,77.0,87.5,92.0
2023-06-24-12:30,83,90,71,35,69.75,77.0,86.5,90.0
2023-06-24-12:45,83,92,71,38,71.0,77.0,87.5,92.0
2023-06-24-13:00,83,90,67,38,69.5,75.0,86.5,90.0
2023-06-24-13:15,83,118,67,38,76.5,75.0,100.5,118.0
2023-06-24-13:30,82,116,67,40,76.25,74.5,99.0,116.0
2023-06-24-13:45,84,88,67,40,69.75,75.5,86.0,88.0
2023-06-24-14:00,82,83,74,39,69.5,78.0,82.5,83.0
2023-06-24-14:15,83,84,74,39,70.0,78.5,83.5,84.0
2023-06-24-14:30,86,84,74,36,70.0,79.0,85.0,86.0
2023-06-24-14:45,84,84,74,41,70.75,79.0,84.0,84.0
2023-06-24-15:00,79,82,77,41,69.75,78.0,80.5,82.0
2023-06-24-15:15,74,82,57,38,62.75,65.5,78.0,82.0
2023-06-24-15:30,72,82,57,32,60.75,64.5,77.0,82.0
2023-06-24-15:45,71,78,57,32,59.5,64.0,74.5,78.0
2023-06-24-16:00,72,76,57,32,59.25,64.5,74.0,76.0
2023-06-24-16:15,72,76,57,32,59.25,64.5,74.0,76.0
2023-06-24-16:30,72,76,57,32,59.25,64.5,74.0,76.0
2023-06-24-16:45,72,76,58,32,59.5,65.0,74.0,76.0
2023-06-24-17:00,69,75,56,26,56.5,62.5,72.0,75.0
2023-06-24-17:15,66,78,56,26,56.5,61.0,72.0,78.0
2023-06-24-17:30,66,82,45,29,55.5,55.5,74.0,82.0
2023-06-24-17:45,65,75,45,28,53.25,55.0,70.0,75.0
2023-06-24-18:00,67,71,49,31,54.5,58.0,69.0,71.0
2023-06-24-18:15,60,66,47,31,51.0,53.5,63.0,66.0
2023-06-24-18:30,54,56,47,31,47.0,50.5,55.0,56.0
2023-06-24-18:45,55,44,47,32,44.5,45.5,51.0,55.0
2023-06-24-19:00,44,31,47,32,38.5,38.0,45.5,47.0
2023-06-24-19:15,38,27,47,34,36.5,36.0,42.5,47.0
2023-06-24-19:30,46,12,41,23,30.5,32.0,43.5,46.0
2023-06-24-19:45,33,24,40,20,29.25,28.5,36.5,40.0
2023-06-24-20:00,23,21,19,15,19.5,20.0,22.0,23.0
2023-06-24-20:15,23,20,19,13,18.75,19.5,21.5,23.0
