,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-24-20:30,20,20,16,13,17.25,18.0,20.0,20.0
2023-06-24-20:45,14,16,14,12,14.0,14.0,15.0,16.0
2023-06-24-21:00,14,16,11,15,14.0,14.5,15.5,16.0
2023-06-24-21:15,13,17,11,15,14.0,14.0,16.0,17.0
2023-06-24-21:30,13,15,7,13,12.0,13.0,14.0,15.0
2023-06-24-21:45,12,15,10,10,11.75,11.0,13.5,15.0
2023-06-24-22:00,12,14,10,10,11.5,11.0,13.0,14.0
2023-06-24-22:15,11,13,9,9,10.5,10.0,12.0,13.0
2023-06-24-22:30,11,13,9,12,11.25,11.5,12.5,13.0
2023-06-24-22:45,10,12,15,7,11.0,11.0,13.5,15.0
2023-06-24-23:00,8,10,14,8,10.0,9.0,12.0,14.0
2023-06-24-23:15,8,10,15,8,10.25,9.0,12.5,15.0
2023-06-24-23:30,8,10,12,9,9.75,9.5,11.0,12.0
2023-06-24-23:45,8,12,12,11,10.75,11.5,12.0,12.0
2023-06-25-00:00,8,7,10,7,8.0,7.5,9.0,10.0
2023-06-25-00:15,8,7,9,8,8.0,8.0,8.5,9.0
2023-06-25-00:30,8,7,9,8,8.0,8.0,8.5,9.0
2023-06-25-00:45,8,7,9,8,8.0,8.0,8.5,9.0
2023-06-25-01:00,7,7,9,8,7.75,7.5,8.5,9.0
2023-06-25-01:15,7,7,9,7,7.5,7.0,8.0,9.0
2023-06-25-01:30,7,7,9,7,7.5,7.0,8.0,9.0
2023-06-25-01:45,7,8,9,6,7.5,7.5,8.5,9.0
2023-06-25-02:00,7,8,9,7,7.75,7.5,8.5,9.0
2023-06-25-02:15,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-25-02:30,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-25-02:45,7,8,9,8,8.0,8.0,8.5,9.0
2023-06-25-03:00,8,9,9,8,8.5,8.5,9.0,9.0
2023-06-25-03:15,8,9,9,8,8.5,8.5,9.0,9.0
2023-06-25-03:30,9,9,9,8,8.75,9.0,9.0,9.0
2023-06-25-03:45,9,10,9,8,9.0,9.0,9.5,10.0
2023-06-25-04:00,8,11,9,8,9.0,8.5,10.0,11.0
2023-06-25-04:15,8,11,9,8,9.0,8.5,10.0,11.0
2023-06-25-04:30,8,12,9,8,9.25,8.5,10.5,12.0
2023-06-25-04:45,8,10,9,8,8.75,8.5,9.5,10.0
2023-06-25-05:00,9,10,9,8,9.0,9.0,9.5,10.0
2023-06-25-05:15,9,10,9,8,9.0,9.0,9.5,10.0
2023-06-25-05:30,7,10,9,9,8.75,9.0,9.5,10.0
2023-06-25-05:45,7,9,9,8,8.25,8.5,9.0,9.0
2023-06-25-06:00,8,11,10,9,9.5,9.5,10.5,11.0
2023-06-25-06:15,9,12,10,10,10.25,10.0,11.0,12.0
2023-06-25-06:30,10,11,10,11,10.5,10.5,11.0,11.0
2023-06-25-06:45,11,11,13,6,10.25,11.0,12.0,13.0
2023-06-25-07:00,16,12,14,10,13.0,13.0,15.0,16.0
2023-06-25-07:15,17,14,16,10,14.25,15.0,16.5,17.0
2023-06-25-07:30,20,21,16,20,19.25,20.0,20.5,21.0
2023-06-25-07:45,18,26,15,19,19.5,18.5,22.5,26.0
2023-06-25-08:00,30,24,23,21,24.5,23.5,27.0,30.0
2023-06-25-08:15,39,24,20,23,26.5,23.5,31.5,39.0
2023-06-25-08:30,34,24,24,25,26.75,24.5,29.5,34.0
2023-06-25-08:45,40,40,24,29,33.25,34.5,40.0,40.0
2023-06-25-09:00,46,56,62,41,51.25,51.0,59.0,62.0
2023-06-25-09:15,53,67,69,45,58.5,60.0,68.0,69.0
2023-06-25-09:30,56,62,69,42,57.25,59.0,65.5,69.0
2023-06-25-09:45,61,56,69,45,57.75,58.5,65.0,69.0
2023-06-25-10:00,80,61,54,43,59.5,57.5,70.5,80.0
2023-06-25-10:15,80,75,63,43,65.25,69.0,77.5,80.0
2023-06-25-10:30,78,105,68,43,73.5,73.0,91.5,105.0
2023-06-25-10:45,73,105,68,41,71.75,70.5,89.0,105.0
2023-06-25-11:00,75,84,72,42,68.25,73.5,79.5,84.0
2023-06-25-11:15,81,91,72,43,71.75,76.5,86.0,91.0
2023-06-25-11:30,80,90,72,43,71.25,76.0,85.0,90.0
2023-06-25-11:45,80,90,72,43,71.25,76.0,85.0,90.0
2023-06-25-12:00,81,88,73,40,70.5,77.0,84.5,88.0
2023-06-25-12:15,81,88,73,40,70.5,77.0,84.5,88.0
2023-06-25-12:30,81,86,73,40,70.0,77.0,83.5,86.0
2023-06-25-12:45,81,88,73,41,70.75,77.0,84.5,88.0
2023-06-25-13:00,80,87,69,42,69.5,74.5,83.5,87.0
2023-06-25-13:15,81,114,69,43,76.75,75.0,97.5,114.0
2023-06-25-13:30,80,113,69,42,76.0,74.5,96.5,113.0
2023-06-25-13:45,80,85,69,42,69.0,74.5,82.5,85.0
2023-06-25-14:00,77,86,76,40,69.75,76.5,81.5,86.0
2023-06-25-14:15,79,87,76,42,71.0,77.5,83.0,87.0
2023-06-25-14:30,82,83,76,38,69.75,79.0,82.5,83.0
2023-06-25-14:45,83,90,76,41,72.5,79.5,86.5,90.0
2023-06-25-15:00,77,88,76,41,70.5,76.5,82.5,88.0
2023-06-25-15:15,74,88,56,38,64.0,65.0,81.0,88.0
2023-06-25-15:30,66,80,56,34,59.0,61.0,73.0,80.0
2023-06-25-15:45,62,76,56,32,56.5,59.0,69.0,76.0
2023-06-25-16:00,69,82,56,32,59.75,62.5,75.5,82.0
2023-06-25-16:15,68,83,49,32,58.0,58.5,75.5,83.0
2023-06-25-16:30,69,83,49,35,59.0,59.0,76.0,83.0
2023-06-25-16:45,70,83,50,33,59.0,60.0,76.5,83.0
2023-06-25-17:00,67,76,56,27,56.5,61.5,71.5,76.0
2023-06-25-17:15,67,78,56,27,57.0,61.5,72.5,78.0
2023-06-25-17:30,67,82,45,26,55.0,56.0,74.5,82.0
2023-06-25-17:45,64,76,45,28,53.25,54.5,70.0,76.0
2023-06-25-18:00,59,80,49,32,55.0,54.0,69.5,80.0
2023-06-25-18:15,47,70,47,31,48.75,47.0,58.5,70.0
2023-06-25-18:30,41,65,47,31,46.0,44.0,56.0,65.0
2023-06-25-18:45,37,54,47,31,42.25,42.0,50.5,54.0
2023-06-25-19:00,29,31,47,31,34.5,31.0,39.0,47.0
2023-06-25-19:15,25,26,47,31,32.25,28.5,39.0,47.0
2023-06-25-19:30,21,28,41,20,27.5,24.5,34.5,41.0
2023-06-25-19:45,19,21,40,20,25.0,20.5,30.5,40.0
2023-06-25-20:00,8,16,19,15,14.5,15.5,17.5,19.0
2023-06-25-20:15,8,14,15,13,12.5,13.5,14.5,15.0
2023-06-25-20:30,10,16,12,12,12.5,12.0,14.0,16.0
2023-06-25-20:45,9,8,15,14,11.5,11.5,14.5,15.0
2023-06-25-21:00,13,12,12,11,12.0,12.0,12.5,13.0
2023-06-25-21:15,12,13,16,10,12.75,12.5,14.5,16.0
2023-06-25-21:30,12,12,16,11,12.75,12.0,14.0,16.0
2023-06-25-21:45,11,13,14,11,12.25,12.0,13.5,14.0
2023-06-25-22:00,10,10,14,11,11.25,10.5,12.5,14.0
2023-06-25-22:15,9,9,9,10,9.25,9.0,9.5,10.0
2023-06-25-22:30,9,9,9,11,9.5,9.0,10.0,11.0
2023-06-25-22:45,8,11,9,10,9.5,9.5,10.5,11.0
2023-06-25-23:00,8,12,8,10,9.5,9.0,11.0,12.0
2023-06-25-23:15,8,12,8,10,9.5,9.0,11.0,12.0
2023-06-25-23:30,8,12,8,10,9.5,9.0,11.0,12.0
2023-06-25-23:45,8,12,8,10,9.5,9.0,11.0,12.0
2023-06-26-00:00,7,6,4,5,5.5,5.5,6.5,7.0
2023-06-26-00:15,6,6,4,5,5.25,5.5,6.0,6.0
2023-06-26-00:30,6,6,6,6,6.0,6.0,6.0,6.0
2023-06-26-00:45,6,6,5,7,6.0,6.0,6.5,7.0
2023-06-26-01:00,6,6,1,7,5.0,6.0,6.5,7.0
2023-06-26-01:15,6,6,1,6,4.75,6.0,6.0,6.0
2023-06-26-01:30,6,6,2,4,4.5,5.0,6.0,6.0
2023-06-26-01:45,6,6,0,8,5.0,6.0,7.0,8.0
2023-06-26-02:00,6,6,4,7,5.75,6.0,6.5,7.0
2023-06-26-02:15,6,6,4,7,5.75,6.0,6.5,7.0
2023-06-26-02:30,6,6,4,2,4.5,5.0,6.0,6.0
2023-06-26-02:45,6,6,6,7,6.25,6.0,6.5,7.0
2023-06-26-03:00,7,6,6,8,6.75,6.5,7.5,8.0
2023-06-26-03:15,7,7,2,8,6.0,7.0,7.5,8.0
2023-06-26-03:30,7,7,0,8,5.5,7.0,7.5,8.0
2023-06-26-03:45,7,6,7,8,7.0,7.0,7.5,8.0
2023-06-26-04:00,6,9,11,7,8.25,8.0,10.0,11.0
2023-06-26-04:15,6,8,8,7,7.25,7.5,8.0,8.0
2023-06-26-04:30,6,8,8,7,7.25,7.5,8.0,8.0
2023-06-26-04:45,6,5,8,7,6.5,6.5,7.5,8.0
2023-06-26-05:00,6,4,9,9,7.0,7.5,9.0,9.0
2023-06-26-05:15,7,4,7,9,6.75,7.0,8.0,9.0
2023-06-26-05:30,8,4,7,9,7.0,7.5,8.5,9.0
2023-06-26-05:45,8,7,7,9,7.75,7.5,8.5,9.0
2023-06-26-06:00,9,6,9,8,8.0,8.5,9.0,9.0
2023-06-26-06:15,10,7,9,8,8.5,8.5,9.5,10.0
2023-06-26-06:30,11,8,9,8,9.0,8.5,10.0,11.0
2023-06-26-06:45,12,8,9,8,9.25,8.5,10.5,12.0
2023-06-26-07:00,12,12,13,8,11.25,12.0,12.5,13.0
2023-06-26-07:15,14,13,15,9,12.75,13.5,14.5,15.0
2023-06-26-07:30,14,17,11,12,13.5,13.0,15.5,17.0
2023-06-26-07:45,15,19,14,12,15.0,14.5,17.0,19.0
2023-06-26-08:00,15,12,24,11,15.5,13.5,19.5,24.0
2023-06-26-08:15,18,10,25,10,15.75,14.0,21.5,25.0
2023-06-26-08:30,28,16,29,13,21.5,22.0,28.5,29.0
2023-06-26-08:45,32,17,29,14,23.0,23.0,30.5,32.0
2023-06-26-09:00,28,40,42,15,31.25,34.0,41.0,42.0
2023-06-26-09:15,33,45,49,20,36.75,39.0,47.0,49.0
2023-06-26-09:30,36,49,49,20,38.5,42.5,49.0,49.0
2023-06-26-09:45,41,50,49,24,41.0,45.0,49.5,50.0
2023-06-26-10:00,53,63,47,20,45.75,50.0,58.0,63.0
2023-06-26-10:15,56,66,59,15,49.0,57.5,62.5,66.0
2023-06-26-10:30,70,68,59,13,52.5,63.5,69.0,70.0
2023-06-26-10:45,72,68,54,30,56.0,61.0,70.0,72.0
2023-06-26-11:00,62,78,54,22,54.0,58.0,70.0,78.0
2023-06-26-11:15,74,78,54,23,57.25,64.0,76.0,78.0
2023-06-26-11:30,74,80,73,22,62.25,73.5,77.0,80.0
2023-06-26-11:45,74,84,73,22,63.25,73.5,79.0,84.0
2023-06-26-12:00,74,87,72,24,64.25,73.0,80.5,87.0
2023-06-26-12:15,74,87,72,24,64.25,73.0,80.5,87.0
2023-06-26-12:30,74,83,55,22,58.5,64.5,78.5,83.0
2023-06-26-12:45,74,100,60,23,64.25,67.0,87.0,100.0
2023-06-26-13:00,74,99,60,27,65.0,67.0,86.5,99.0
2023-06-26-13:15,76,94,60,27,64.25,68.0,85.0,94.0
2023-06-26-13:30,75,92,55,32,63.5,65.0,83.5,92.0
2023-06-26-13:45,76,93,72,32,68.25,74.0,84.5,93.0
2023-06-26-14:00,76,89,77,32,68.5,76.5,83.0,89.0
2023-06-26-14:15,76,89,77,32,68.5,76.5,83.0,89.0
2023-06-26-14:30,78,88,77,29,68.0,77.5,83.0,88.0
2023-06-26-14:45,78,87,77,30,68.0,77.5,82.5,87.0
2023-06-26-15:00,74,81,80,36,67.75,77.0,80.5,81.0
2023-06-26-15:15,74,85,59,33,62.75,66.5,79.5,85.0
2023-06-26-15:30,70,80,59,30,59.75,64.5,75.0,80.0
2023-06-26-15:45,70,80,59,30,59.75,64.5,75.0,80.0
2023-06-26-16:00,76,81,59,35,62.75,67.5,78.5,81.0
2023-06-26-16:15,76,80,59,35,62.5,67.5,78.0,80.0
2023-06-26-16:30,73,80,59,35,61.75,66.0,76.5,80.0
2023-06-26-16:45,73,80,57,35,61.25,65.0,76.5,80.0
2023-06-26-17:00,61,75,56,32,56.0,58.5,68.0,75.0
2023-06-26-17:15,58,68,56,33,53.75,57.0,63.0,68.0
2023-06-26-17:30,48,74,45,33,50.0,46.5,61.0,74.0
2023-06-26-17:45,43,63,45,32,45.75,44.0,54.0,63.0
2023-06-26-18:00,53,61,50,21,46.25,51.5,57.0,61.0
2023-06-26-18:15,53,54,44,22,43.25,48.5,53.5,54.0
2023-06-26-18:30,47,52,46,22,41.75,46.5,49.5,52.0
2023-06-26-18:45,41,49,43,21,38.5,42.0,46.0,49.0
2023-06-26-19:00,36,42,43,19,35.0,39.0,42.5,43.0
2023-06-26-19:15,38,30,40,19,31.75,34.0,39.0,40.0
2023-06-26-19:30,35,18,27,22,25.5,24.5,31.0,35.0
2023-06-26-19:45,31,25,27,21,26.0,26.0,29.0,31.0
2023-06-26-20:00,16,22,20,15,18.25,18.0,21.0,22.0
2023-06-26-20:15,17,20,20,14,17.75,18.5,20.0,20.0
2023-06-26-20:30,17,17,17,14,16.25,17.0,17.0,17.0
2023-06-26-20:45,15,14,17,14,15.0,14.5,16.0,17.0
2023-06-26-21:00,12,9,14,11,11.5,11.5,13.0,14.0
2023-06-26-21:15,11,9,14,11,11.25,11.0,12.5,14.0
2023-06-26-21:30,12,8,14,9,10.75,10.5,13.0,14.0
2023-06-26-21:45,11,6,12,6,8.75,8.5,11.5,12.0
2023-06-26-22:00,10,10,12,6,9.5,10.0,11.0,12.0
2023-06-26-22:15,10,8,7,6,7.75,7.5,9.0,10.0
2023-06-26-22:30,8,8,7,9,8.0,8.0,8.5,9.0
2023-06-26-22:45,8,7,7,7,7.25,7.0,7.5,8.0
2023-06-26-23:00,7,6,5,8,6.5,6.5,7.5,8.0
2023-06-26-23:15,7,6,5,8,6.5,6.5,7.5,8.0
2023-06-26-23:30,8,5,5,8,6.5,6.5,8.0,8.0
2023-06-26-23:45,8,5,5,8,6.5,6.5,8.0,8.0
2023-06-27-00:00,7,7,5,6,6.25,6.5,7.0,7.0
2023-06-27-00:15,7,7,5,6,6.25,6.5,7.0,7.0
2023-06-27-00:30,7,-10,5,6,2.0,5.5,6.5,7.0
2023-06-27-00:45,7,6,5,6,6.0,6.0,6.5,7.0
2023-06-27-01:00,6,6,5,6,5.75,6.0,6.0,6.0
2023-06-27-01:15,7,6,5,6,6.0,6.0,6.5,7.0
2023-06-27-01:30,7,6,5,7,6.25,6.5,7.0,7.0
2023-06-27-01:45,7,6,5,7,6.25,6.5,7.0,7.0
2023-06-27-02:00,7,6,5,7,6.25,6.5,7.0,7.0
2023-06-27-02:15,7,6,5,7,6.25,6.5,7.0,7.0
2023-06-27-02:30,7,6,11,7,7.75,7.0,9.0,11.0
2023-06-27-02:45,6,6,8,7,6.75,6.5,7.5,8.0
2023-06-27-03:00,6,7,9,7,7.25,7.0,8.0,9.0
2023-06-27-03:15,6,6,8,8,7.0,7.0,8.0,8.0
2023-06-27-03:30,7,6,8,9,7.5,7.5,8.5,9.0
2023-06-27-03:45,7,6,8,9,7.5,7.5,8.5,9.0
2023-06-27-04:00,7,10,7,8,8.0,7.5,9.0,10.0
2023-06-27-04:15,7,10,7,8,8.0,7.5,9.0,10.0
2023-06-27-04:30,7,10,7,8,8.0,7.5,9.0,10.0
2023-06-27-04:45,7,10,7,8,8.0,7.5,9.0,10.0
2023-06-27-05:00,7,9,7,10,8.25,8.0,9.5,10.0
2023-06-27-05:15,7,9,7,10,8.25,8.0,9.5,10.0
2023-06-27-05:30,6,9,7,11,8.25,8.0,10.0,11.0
2023-06-27-05:45,6,8,7,11,8.0,7.5,9.5,11.0
2023-06-27-06:00,8,9,9,11,9.25,9.0,10.0,11.0
2023-06-27-06:15,9,10,9,10,9.5,9.5,10.0,10.0
2023-06-27-06:30,10,10,9,10,9.75,10.0,10.0,10.0
2023-06-27-06:45,11,10,9,10,10.0,10.0,10.5,11.0
2023-06-27-07:00,11,10,13,9,10.75,10.5,12.0,13.0
2023-06-27-07:15,12,11,15,10,12.0,11.5,13.5,15.0
2023-06-27-07:30,12,14,15,13,13.5,13.5,14.5,15.0
2023-06-27-07:45,13,16,18,13,15.0,14.5,17.0,18.0
2023-06-27-08:00,19,15,20,13,16.75,17.0,19.5,20.0
2023-06-27-08:15,24,17,21,12,18.5,19.0,22.5,24.0
2023-06-27-08:30,30,18,19,16,20.75,18.5,24.5,30.0
2023-06-27-08:45,33,20,23,17,23.25,21.5,28.0,33.0
2023-06-27-09:00,27,41,41,18,31.75,34.0,41.0,41.0
2023-06-27-09:15,32,46,49,24,37.75,39.0,47.5,49.0
2023-06-27-09:30,32,50,63,21,41.5,41.0,56.5,63.0
2023-06-27-09:45,32,55,63,22,43.0,43.5,59.0,63.0
2023-06-27-10:00,50,62,57,23,48.0,53.5,59.5,62.0
2023-06-27-10:15,53,65,66,23,51.75,59.0,65.5,66.0
2023-06-27-10:30,63,61,69,19,53.0,62.0,66.0,69.0
2023-06-27-10:45,65,61,69,24,54.75,63.0,67.0,69.0
2023-06-27-11:00,72,61,69,20,55.5,65.0,70.5,72.0
2023-06-27-11:15,74,65,69,23,57.75,67.0,71.5,74.0
2023-06-27-11:30,78,66,69,23,59.0,67.5,73.5,78.0
2023-06-27-11:45,73,70,69,23,58.75,69.5,71.5,73.0
2023-06-27-12:00,72,73,71,21,59.25,71.5,72.5,73.0
2023-06-27-12:15,72,73,71,21,59.25,71.5,72.5,73.0
2023-06-27-12:30,55,69,71,24,54.75,62.0,70.0,71.0
2023-06-27-12:45,52,78,71,24,56.25,61.5,74.5,78.0
2023-06-27-13:00,52,69,67,24,53.0,59.5,68.0,69.0
2023-06-27-13:15,52,71,67,24,53.5,59.5,69.0,71.0
2023-06-27-13:30,52,69,67,24,53.0,59.5,68.0,69.0
2023-06-27-13:45,52,71,60,24,51.75,56.0,65.5,71.0
2023-06-27-14:00,51,79,72,24,56.5,61.5,75.5,79.0
2023-06-27-14:15,51,79,72,24,56.5,61.5,75.5,79.0
2023-06-27-14:30,53,78,72,25,57.0,62.5,75.0,78.0
2023-06-27-14:45,53,78,72,23,56.5,62.5,75.0,78.0
2023-06-27-15:00,53,78,75,34,60.0,64.0,76.5,78.0
2023-06-27-15:15,53,74,54,35,54.0,53.5,64.0,74.0
2023-06-27-15:30,50,74,54,34,53.0,52.0,64.0,74.0
2023-06-27-15:45,50,74,54,34,53.0,52.0,64.0,74.0
2023-06-27-16:00,50,75,54,34,53.25,52.0,64.5,75.0
2023-06-27-16:15,50,74,54,34,53.0,52.0,64.0,74.0
2023-06-27-16:30,50,71,54,36,52.75,52.0,62.5,71.0
2023-06-27-16:45,50,71,56,36,53.25,53.0,63.5,71.0
2023-06-27-17:00,43,67,51,25,46.5,47.0,59.0,67.0
2023-06-27-17:15,44,62,51,25,45.5,47.5,56.5,62.0
2023-06-27-17:30,44,64,41,27,44.0,42.5,54.0,64.0
2023-06-27-17:45,39,56,41,27,40.75,40.0,48.5,56.0
2023-06-27-18:00,44,51,44,22,40.25,44.0,47.5,51.0
2023-06-27-18:15,40,44,43,22,37.25,41.5,43.5,44.0
2023-06-27-18:30,39,49,43,22,38.25,41.0,46.0,49.0
2023-06-27-18:45,39,48,43,20,37.5,41.0,45.5,48.0
2023-06-27-19:00,34,38,34,18,31.0,34.0,36.0,38.0
2023-06-27-19:15,32,37,34,17,30.0,33.0,35.5,37.0
2023-06-27-19:30,38,21,28,23,27.5,25.5,33.0,38.0
2023-06-27-19:45,24,22,27,18,22.75,23.0,25.5,27.0
2023-06-27-20:00,16,13,14,11,13.5,13.5,15.0,16.0
2023-06-27-20:15,15,12,14,11,13.0,13.0,14.5,15.0
2023-06-27-20:30,14,13,11,9,11.75,12.0,13.5,14.0
2023-06-27-20:45,15,8,12,12,11.75,12.0,13.5,15.0
2023-06-27-21:00,13,11,9,11,11.0,11.0,12.0,13.0
2023-06-27-21:15,12,9,9,11,10.25,10.0,11.5,12.0
2023-06-27-21:30,11,9,9,9,9.5,9.0,10.0,11.0
2023-06-27-21:45,11,8,8,3,7.5,8.0,9.5,11.0
2023-06-27-22:00,9,9,11,3,8.0,9.0,10.0,11.0
2023-06-27-22:15,9,8,10,0,6.75,8.5,9.5,10.0
2023-06-27-22:30,9,8,7,8,8.0,8.0,8.5,9.0
2023-06-27-22:45,8,7,7,8,7.5,7.5,8.0,8.0
2023-06-27-23:00,7,10,6,10,8.25,8.5,10.0,10.0
2023-06-27-23:15,7,10,6,10,8.25,8.5,10.0,10.0
2023-06-27-23:30,7,-7,6,9,3.75,6.5,8.0,9.0
2023-06-27-23:45,7,10,12,9,9.5,9.5,11.0,12.0
2023-06-28-00:00,7,7,11,8,8.25,7.5,9.5,11.0
2023-06-28-00:15,7,7,11,8,8.25,7.5,9.5,11.0
2023-06-28-00:30,7,7,11,8,8.25,7.5,9.5,11.0
2023-06-28-00:45,7,7,8,8,7.5,7.5,8.0,8.0
2023-06-28-01:00,7,7,9,8,7.75,7.5,8.5,9.0
2023-06-28-01:15,7,5,9,7,7.0,7.0,8.0,9.0
2023-06-28-01:30,7,5,12,8,8.0,7.5,10.0,12.0
2023-06-28-01:45,7,5,12,8,8.0,7.5,10.0,12.0
2023-06-28-02:00,6,7,12,8,8.25,7.5,10.0,12.0
2023-06-28-02:15,6,7,11,8,8.0,7.5,9.5,11.0
2023-06-28-02:30,6,7,11,8,8.0,7.5,9.5,11.0
2023-06-28-02:45,6,7,11,8,8.0,7.5,9.5,11.0
2023-06-28-03:00,7,7,11,10,8.75,8.5,10.5,11.0
