,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-25-04:00,346,427,308,372,363.25,359.0,399.5,427.0
2023-06-25-04:15,346,427,308,372,363.25,359.0,399.5,427.0
2023-06-25-04:30,346,427,308,372,363.25,359.0,399.5,427.0
2023-06-25-04:45,346,427,308,372,363.25,359.0,399.5,427.0
2023-06-25-05:00,346,427,311,377,365.25,361.5,402.0,427.0
2023-06-25-05:15,345,427,311,377,365.0,361.0,402.0,427.0
2023-06-25-05:30,345,427,311,377,365.0,361.0,402.0,427.0
2023-06-25-05:45,345,427,311,377,365.0,361.0,402.0,427.0
2023-06-25-06:00,350,425,318,379,368.0,364.5,402.0,425.0
2023-06-25-06:15,350,425,318,379,368.0,364.5,402.0,425.0
2023-06-25-06:30,358,456,332,391,384.25,374.5,423.5,456.0
2023-06-25-06:45,366,450,362,391,392.25,378.5,420.5,450.0
2023-06-25-07:00,372,452,362,390,394.0,381.0,421.0,452.0
2023-06-25-07:15,378,452,362,390,395.5,384.0,421.0,452.0
2023-06-25-07:30,378,463,362,390,398.25,384.0,426.5,463.0
2023-06-25-07:45,378,469,365,390,400.5,384.0,429.5,469.0
2023-06-25-08:00,378,476,414,399,416.75,406.5,445.0,476.0
2023-06-25-08:15,418,458,414,405,423.75,416.0,438.0,458.0
2023-06-25-08:30,423,499,421,387,432.5,422.0,461.0,499.0
2023-06-25-08:45,431,499,426,387,435.75,428.5,465.0,499.0
2023-06-25-09:00,437,532,469,482,480.0,475.5,507.0,532.0
2023-06-25-09:15,437,532,469,482,480.0,475.5,507.0,532.0
2023-06-25-09:30,455,500,469,482,476.5,475.5,491.0,500.0
2023-06-25-09:45,456,480,469,482,471.75,474.5,481.0,482.0
2023-06-25-10:00,496,544,514,473,506.75,505.0,529.0,544.0
2023-06-25-10:15,490,544,500,473,501.75,495.0,522.0,544.0
2023-06-25-10:30,485,544,500,473,500.5,492.5,522.0,544.0
2023-06-25-10:45,488,544,505,473,502.5,496.5,524.5,544.0
2023-06-25-11:00,488,544,489,473,498.5,488.5,516.5,544.0
2023-06-25-11:15,488,544,512,472,504.0,500.0,528.0,544.0
2023-06-25-11:30,493,544,512,472,505.25,502.5,528.0,544.0
2023-06-25-11:45,512,544,504,472,508.0,508.0,528.0,544.0
2023-06-25-12:00,512,544,508,509,518.25,510.5,528.0,544.0
2023-06-25-12:15,512,544,504,509,517.25,510.5,528.0,544.0
2023-06-25-12:30,517,544,512,509,520.5,514.5,530.5,544.0
2023-06-25-12:45,512,544,512,509,519.25,512.0,528.0,544.0
2023-06-25-13:00,516,563,528,501,527.0,522.0,545.5,563.0
2023-06-25-13:15,516,563,534,501,528.5,525.0,548.5,563.0
2023-06-25-13:30,516,563,529,501,527.25,522.5,546.0,563.0
2023-06-25-13:45,516,563,529,501,527.25,522.5,546.0,563.0
2023-06-25-14:00,516,563,529,501,527.25,522.5,546.0,563.0
2023-06-25-14:15,516,563,529,501,527.25,522.5,546.0,563.0
2023-06-25-14:30,516,563,529,501,527.25,522.5,546.0,563.0
2023-06-25-14:45,516,563,529,501,527.25,522.5,546.0,563.0
2023-06-25-15:00,512,563,521,501,524.25,516.5,542.0,563.0
2023-06-25-15:15,512,563,521,501,524.25,516.5,542.0,563.0
2023-06-25-15:30,512,563,521,501,524.25,516.5,542.0,563.0
2023-06-25-15:45,512,563,521,501,524.25,516.5,542.0,563.0
2023-06-25-16:00,512,541,488,467,502.0,500.0,526.5,541.0
2023-06-25-16:15,503,541,488,467,499.75,495.5,522.0,541.0
2023-06-25-16:30,503,541,488,467,499.75,495.5,522.0,541.0
2023-06-25-16:45,503,541,488,467,499.75,495.5,522.0,541.0
2023-06-25-17:00,457,512,465,472,476.5,468.5,492.0,512.0
2023-06-25-17:15,457,512,465,472,476.5,468.5,492.0,512.0
2023-06-25-17:30,457,512,465,472,476.5,468.5,492.0,512.0
2023-06-25-17:45,457,512,465,472,476.5,468.5,492.0,512.0
2023-06-25-18:00,454,496,465,420,458.75,459.5,480.5,496.0
2023-06-25-18:15,454,496,453,420,455.75,453.5,475.0,496.0
2023-06-25-18:30,455,496,453,420,456.0,454.0,475.5,496.0
2023-06-25-18:45,448,515,453,420,459.0,450.5,484.0,515.0
2023-06-25-19:00,448,536,437,477,474.5,462.5,506.5,536.0
2023-06-25-19:15,426,536,441,477,470.0,459.0,506.5,536.0
2023-06-25-19:30,426,536,441,477,470.0,459.0,506.5,536.0
2023-06-25-19:45,399,533,441,477,462.5,459.0,505.0,533.0
2023-06-25-20:00,420,533,407,477,459.25,448.5,505.0,533.0
2023-06-25-20:15,420,533,407,477,459.25,448.5,505.0,533.0
2023-06-25-20:30,413,471,407,464,438.75,438.5,467.5,471.0
2023-06-25-20:45,413,471,407,464,438.75,438.5,467.5,471.0
2023-06-25-21:00,403,455,356,459,418.25,429.0,457.0,459.0
2023-06-25-21:15,403,468,356,437,416.0,420.0,452.5,468.0
2023-06-25-21:30,400,468,356,437,415.25,418.5,452.5,468.0
2023-06-25-21:45,400,468,356,437,415.25,418.5,452.5,468.0
2023-06-25-22:00,369,467,347,395,394.5,382.0,431.0,467.0
2023-06-25-22:15,363,467,347,395,393.0,379.0,431.0,467.0
2023-06-25-22:30,363,467,347,395,393.0,379.0,431.0,467.0
2023-06-25-22:45,358,467,347,395,391.75,376.5,431.0,467.0
2023-06-25-23:00,359,456,309,384,377.0,371.5,420.0,456.0
2023-06-25-23:15,353,452,311,383,374.75,368.0,417.5,452.0
2023-06-25-23:30,353,452,311,383,374.75,368.0,417.5,452.0
2023-06-25-23:45,349,452,311,383,373.75,366.0,417.5,452.0
2023-06-26-00:00,342,271,267,251,282.75,269.0,306.5,342.0
2023-06-26-00:15,342,271,278,251,285.5,274.5,310.0,342.0
2023-06-26-00:30,336,276,276,251,284.75,276.0,306.0,336.0
2023-06-26-00:45,336,276,276,251,284.75,276.0,306.0,336.0
2023-06-26-01:00,334,279,276,251,285.0,277.5,306.5,334.0
2023-06-26-01:15,334,283,276,251,286.0,279.5,308.5,334.0
2023-06-26-01:30,334,283,276,251,286.0,279.5,308.5,334.0
2023-06-26-01:45,334,277,276,250,284.25,276.5,305.5,334.0
2023-06-26-02:00,330,300,274,250,288.5,287.0,315.0,330.0
2023-06-26-02:15,330,300,274,248,288.0,287.0,315.0,330.0
2023-06-26-02:30,330,300,274,248,288.0,287.0,315.0,330.0
2023-06-26-02:45,330,305,274,248,289.25,289.5,317.5,330.0
2023-06-26-03:00,329,281,274,253,284.25,277.5,305.0,329.0
2023-06-26-03:15,331,281,274,253,284.75,277.5,306.0,331.0
2023-06-26-03:30,331,276,274,253,283.5,275.0,303.5,331.0
2023-06-26-03:45,331,339,274,253,299.25,302.5,335.0,339.0
2023-06-26-04:00,329,362,274,248,303.25,301.5,345.5,362.0
2023-06-26-04:15,329,362,274,248,303.25,301.5,345.5,362.0
2023-06-26-04:30,329,362,274,248,303.25,301.5,345.5,362.0
2023-06-26-04:45,329,398,274,248,312.25,301.5,363.5,398.0
2023-06-26-05:00,273,398,277,253,300.25,275.0,337.5,398.0
2023-06-26-05:15,273,398,277,253,300.25,275.0,337.5,398.0
2023-06-26-05:30,273,398,268,253,298.0,270.5,335.5,398.0
2023-06-26-05:45,273,398,268,253,298.0,270.5,335.5,398.0
2023-06-26-06:00,274,399,268,253,298.5,271.0,336.5,399.0
2023-06-26-06:15,274,399,268,253,298.5,271.0,336.5,399.0
2023-06-26-06:30,274,399,268,253,298.5,271.0,336.5,399.0
2023-06-26-06:45,282,363,269,253,291.75,275.5,322.5,363.0
2023-06-26-07:00,321,364,269,255,302.25,295.0,342.5,364.0
2023-06-26-07:15,321,364,269,255,302.25,295.0,342.5,364.0
2023-06-26-07:30,321,364,269,255,302.25,295.0,342.5,364.0
2023-06-26-07:45,321,364,283,255,305.75,302.0,342.5,364.0
2023-06-26-08:00,348,365,283,268,316.0,315.5,356.5,365.0
2023-06-26-08:15,374,365,283,272,323.5,324.0,369.5,374.0
2023-06-26-08:30,385,345,301,272,325.75,323.0,365.0,385.0
2023-06-26-08:45,396,349,329,272,336.5,339.0,372.5,396.0
2023-06-26-09:00,374,358,368,379,369.75,371.0,376.5,379.0
2023-06-26-09:15,374,358,370,379,370.25,372.0,376.5,379.0
2023-06-26-09:30,384,358,370,379,372.75,374.5,381.5,384.0
2023-06-26-09:45,393,358,370,379,375.0,374.5,386.0,393.0
2023-06-26-10:00,403,361,383,375,380.5,379.0,393.0,403.0
2023-06-26-10:15,403,361,383,375,380.5,379.0,393.0,403.0
2023-06-26-10:30,403,361,383,375,380.5,379.0,393.0,403.0
2023-06-26-10:45,415,361,382,375,383.25,378.5,398.5,415.0
2023-06-26-11:00,411,361,382,379,383.25,380.5,396.5,411.0
2023-06-26-11:15,411,386,382,400,394.75,393.0,405.5,411.0
2023-06-26-11:30,411,386,382,400,394.75,393.0,405.5,411.0
2023-06-26-11:45,411,386,382,400,394.75,393.0,405.5,411.0
2023-06-26-12:00,412,386,363,400,390.25,393.0,406.0,412.0
2023-06-26-12:15,412,386,360,400,389.5,393.0,406.0,412.0
2023-06-26-12:30,412,386,360,400,389.5,393.0,406.0,412.0
2023-06-26-12:45,412,386,360,400,389.5,393.0,406.0,412.0
2023-06-26-13:00,399,390,378,397,391.0,393.5,398.0,399.0
2023-06-26-13:15,399,390,378,375,385.5,384.0,394.5,399.0
2023-06-26-13:30,399,390,378,375,385.5,384.0,394.5,399.0
2023-06-26-13:45,399,390,378,375,385.5,384.0,394.5,399.0
2023-06-26-14:00,408,392,378,397,393.75,394.5,402.5,408.0
2023-06-26-14:15,408,392,378,397,393.75,394.5,402.5,408.0
2023-06-26-14:30,408,392,378,428,401.5,400.0,418.0,428.0
2023-06-26-14:45,408,403,386,428,406.25,405.5,418.0,428.0
2023-06-26-15:00,417,406,436,428,421.75,422.5,432.0,436.0
2023-06-26-15:15,417,406,436,428,421.75,422.5,432.0,436.0
2023-06-26-15:30,417,395,428,428,417.0,422.5,428.0,428.0
2023-06-26-15:45,417,395,428,397,409.25,407.0,422.5,428.0
2023-06-26-16:00,415,360,410,397,395.5,403.5,412.5,415.0
2023-06-26-16:15,391,360,358,397,376.5,375.5,394.0,397.0
2023-06-26-16:30,391,360,358,397,376.5,375.5,394.0,397.0
2023-06-26-16:45,391,360,358,397,376.5,375.5,394.0,397.0
2023-06-26-17:00,391,358,358,392,374.75,374.5,391.5,392.0
2023-06-26-17:15,387,353,358,392,372.5,372.5,389.5,392.0
2023-06-26-17:30,386,353,358,392,372.25,372.0,389.0,392.0
2023-06-26-17:45,381,353,358,392,371.0,369.5,386.5,392.0
2023-06-26-18:00,381,352,359,364,364.0,361.5,372.5,381.0
2023-06-26-18:15,381,352,359,364,364.0,361.5,372.5,381.0
2023-06-26-18:30,393,352,359,364,367.0,361.5,378.5,393.0
2023-06-26-18:45,390,352,366,369,369.25,367.5,379.5,390.0
2023-06-26-19:00,367,352,363,352,358.5,357.5,365.0,367.0
2023-06-26-19:15,367,352,360,352,357.75,356.0,363.5,367.0
2023-06-26-19:30,367,352,360,352,357.75,356.0,363.5,367.0
2023-06-26-19:45,367,352,360,352,357.75,356.0,363.5,367.0
2023-06-26-20:00,367,352,358,373,362.5,362.5,370.0,373.0
2023-06-26-20:15,367,352,358,373,362.5,362.5,370.0,373.0
2023-06-26-20:30,365,313,358,373,352.25,361.5,369.0,373.0
2023-06-26-20:45,365,313,358,373,352.25,361.5,369.0,373.0
2023-06-26-21:00,355,318,335,355,340.75,345.0,355.0,355.0
2023-06-26-21:15,355,318,324,355,338.0,339.5,355.0,355.0
2023-06-26-21:30,355,318,318,355,336.5,336.5,355.0,355.0
2023-06-26-21:45,355,318,318,355,336.5,336.5,355.0,355.0
2023-06-26-22:00,364,301,302,271,309.5,301.5,333.0,364.0
2023-06-26-22:15,357,301,302,271,307.75,301.5,329.5,357.0
2023-06-26-22:30,357,301,296,271,306.25,298.5,329.0,357.0
2023-06-26-22:45,352,301,296,271,305.0,298.5,326.5,352.0
2023-06-26-23:00,345,276,289,232,285.5,282.5,317.0,345.0
2023-06-26-23:15,339,276,290,251,289.0,283.0,314.5,339.0
2023-06-26-23:30,339,276,290,251,289.0,283.0,314.5,339.0
2023-06-26-23:45,335,276,290,251,288.0,283.0,312.5,335.0
2023-06-27-00:00,331,296,276,261,291.0,286.0,313.5,331.0
2023-06-27-00:15,331,296,271,261,289.75,283.5,313.5,331.0
2023-06-27-00:30,325,296,269,261,287.75,282.5,310.5,325.0
2023-06-27-00:45,325,296,269,261,287.75,282.5,310.5,325.0
2023-06-27-01:00,283,294,269,261,276.75,276.0,288.5,294.0
2023-06-27-01:15,282,294,264,261,275.25,273.0,288.0,294.0
2023-06-27-01:30,282,294,264,261,275.25,273.0,288.0,294.0
2023-06-27-01:45,282,294,264,260,275.0,273.0,288.0,294.0
2023-06-27-02:00,336,320,262,260,294.5,291.0,328.0,336.0
2023-06-27-02:15,336,320,262,259,294.25,291.0,328.0,336.0
2023-06-27-02:30,336,339,278,259,303.0,307.0,337.5,339.0
2023-06-27-02:45,336,339,278,259,303.0,307.0,337.5,339.0
2023-06-27-03:00,317,315,278,264,293.5,296.5,316.0,317.0
2023-06-27-03:15,317,315,278,264,293.5,296.5,316.0,317.0
2023-06-27-03:30,317,352,262,264,298.75,290.5,334.5,352.0
2023-06-27-03:45,317,395,262,264,309.5,290.5,356.0,395.0
