,high_mean
2023-06-26-13:15,394
2023-06-26-13:30,394
2023-06-26-13:45,394
2023-06-26-14:00,402
2023-06-26-14:15,402
2023-06-26-14:30,418
2023-06-26-14:45,418
2023-06-26-15:00,432
2023-06-26-15:15,432
2023-06-26-15:30,428
2023-06-26-15:45,422
2023-06-26-16:00,412
2023-06-26-16:15,394
2023-06-26-16:30,394
2023-06-26-16:45,394
2023-06-26-17:00,391
2023-06-26-17:15,389
2023-06-26-17:30,389
2023-06-26-17:45,386
2023-06-26-18:00,372
2023-06-26-18:15,372
2023-06-26-18:30,378
2023-06-26-18:45,379
2023-06-26-19:00,365
2023-06-26-19:15,363
2023-06-26-19:30,363
2023-06-26-19:45,363
2023-06-26-20:00,370
2023-06-26-20:15,370
2023-06-26-20:30,369
2023-06-26-20:45,369
2023-06-26-21:00,355
2023-06-26-21:15,355
2023-06-26-21:30,355
2023-06-26-21:45,355
2023-06-26-22:00,333
2023-06-26-22:15,329
2023-06-26-22:30,329
2023-06-26-22:45,326
2023-06-26-23:00,317
2023-06-26-23:15,314
2023-06-26-23:30,314
2023-06-26-23:45,312
2023-06-27-00:00,313
2023-06-27-00:15,313
2023-06-27-00:30,310
2023-06-27-00:45,310
2023-06-27-01:00,288
2023-06-27-01:15,288
2023-06-27-01:30,288
2023-06-27-01:45,288
2023-06-27-02:00,328
2023-06-27-02:15,328
2023-06-27-02:30,337
2023-06-27-02:45,337
2023-06-27-03:00,316
2023-06-27-03:15,316
2023-06-27-03:30,334
2023-06-27-03:45,356
2023-06-27-04:00,376
2023-06-27-04:15,376
2023-06-27-04:30,376
2023-06-27-04:45,375
2023-06-27-05:00,375
2023-06-27-05:15,375
2023-06-27-05:30,375
2023-06-27-05:45,375
2023-06-27-06:00,377
2023-06-27-06:15,377
2023-06-27-06:30,377
2023-06-27-06:45,363
2023-06-27-07:00,364
2023-06-27-07:15,364
2023-06-27-07:30,365
2023-06-27-07:45,365
2023-06-27-08:00,368
2023-06-27-08:15,381
2023-06-27-08:30,377
2023-06-27-08:45,385
2023-06-27-09:00,377
2023-06-27-09:15,379
2023-06-27-09:30,381
2023-06-27-09:45,412
2023-06-27-10:00,420
2023-06-27-10:15,435
2023-06-27-10:30,435
2023-06-27-10:45,435
2023-06-27-11:00,433
2023-06-27-11:15,433
2023-06-27-11:30,433
2023-06-27-11:45,429
2023-06-27-12:00,424
2023-06-27-12:15,421
2023-06-27-12:30,421
2023-06-27-12:45,421
2023-06-27-13:00,425
2023-06-27-13:15,428
2023-06-27-13:30,428
2023-06-27-13:45,428
2023-06-27-14:00,428
2023-06-27-14:15,428
2023-06-27-14:30,428
2023-06-27-14:45,428
2023-06-27-15:00,427
2023-06-27-15:15,427
2023-06-27-15:30,427
2023-06-27-15:45,427
2023-06-27-16:00,421
2023-06-27-16:15,419
2023-06-27-16:30,419
2023-06-27-16:45,419
2023-06-27-17:00,417
2023-06-27-17:15,417
2023-06-27-17:30,417
2023-06-27-17:45,417
2023-06-27-18:00,393
2023-06-27-18:15,393
2023-06-27-18:30,399
2023-06-27-18:45,401
2023-06-27-19:00,424
2023-06-27-19:15,418
2023-06-27-19:30,418
2023-06-27-19:45,418
2023-06-27-20:00,422
2023-06-27-20:15,422
2023-06-27-20:30,422
2023-06-27-20:45,407
2023-06-27-21:00,408
2023-06-27-21:15,385
2023-06-27-21:30,385
2023-06-27-21:45,385
2023-06-27-22:00,352
2023-06-27-22:15,354
2023-06-27-22:30,354
2023-06-27-22:45,351
2023-06-27-23:00,335
2023-06-27-23:15,332
2023-06-27-23:30,332
2023-06-27-23:45,330
2023-06-28-00:00,326
2023-06-28-00:15,326
2023-06-28-00:30,327
2023-06-28-00:45,327
2023-06-28-01:00,324
2023-06-28-01:15,323
2023-06-28-01:30,321
2023-06-28-01:45,321
2023-06-28-02:00,324
2023-06-28-02:15,324
2023-06-28-02:30,324
2023-06-28-02:45,324
2023-06-28-03:00,319
2023-06-28-03:15,319
2023-06-28-03:30,319
2023-06-28-03:45,320
2023-06-28-04:00,332
2023-06-28-04:15,332
2023-06-28-04:30,342
2023-06-28-04:45,341
2023-06-28-05:00,351
2023-06-28-05:15,351
2023-06-28-05:30,354
2023-06-28-05:45,347
2023-06-28-06:00,346
2023-06-28-06:15,346
2023-06-28-06:30,350
2023-06-28-06:45,344
2023-06-28-07:00,346
2023-06-28-07:15,349
2023-06-28-07:30,353
2023-06-28-07:45,353
2023-06-28-08:00,357
2023-06-28-08:15,376
2023-06-28-08:30,372
2023-06-28-08:45,383
2023-06-28-09:00,444
2023-06-28-09:15,445
2023-06-28-09:30,445
2023-06-28-09:45,445
2023-06-28-10:00,454
2023-06-28-10:15,454
2023-06-28-10:30,454
